iso3,Country Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,US$ Mn,,,,,,,,,,,,,,14,30,84,83,104,114,82
ALB,Albania,US$ Mn,65,77,27,54,211,389,446,487,522,735,854,1012,1378,1713,1829,1613,1632,1464,1473,1700
DZA,Algeria,US$ Mn,32,45,28,74,80,102,100,111,112,178,184,220,219,323,246,220,209,217,250,258
AGO,Angola,US$ Mn,10,9,9,8,13,18,22,37,49,66,88,75,225,285,534,719,646,706,1234,1589
AIA,Anguilla,US$ Mn,50,51,60,62,58,56,62,57,64,69,86,107,115,109,94,99,112,113,122,
ATG,Antigua and Barbuda,US$ Mn,247,258,278,282,290,291,272,274,300,337,309,327,338,334,305,298,312,319,299,
ARG,Argentina,US$ Mn,2222,2621,2778,3025,2898,2904,2642,1535,2006,2235,2729,3344,4314,4645,3960,4942,5354,4887,4313,4624
ARM,Armenia,US$ Mn,1,12,20,24,31,38,65,63,73,171,223,370,484,518,530,646,722,817,880,966
ABW,Aruba,US$ Mn,521,620,689,741,729,814,822,834,858,1056,1097,1064,1213,1351,1222,1251,1351,1402,1501,1612
AUS,Australia,US$ Mn,8130,9519,9456,8131,9256,9289,9224,9971,12438,15214,16750,17538,21774,23986,24566,28472,31556,31913,31303,31948
AUT,Austria,US$ Mn,13435,12830,11018,11241,10847,9899,9948,10803,13307,15150,16243,16512,18559,21632,19156,18757,19778,18937,20220,20907
AZE,Azerbaijan,US$ Mn,70,46,162,125,81,63,43,51,58,65,78,117,178,191,379,657,1287,2433,2365,2432
BHS,Bahamas,US$ Mn,1346,1398,1416,1354,1583,1738,1648,1760,1757,1884,2071,2056,2187,2144,2014,2147,2142,2311,2285,2447
BHR,Bahrain,US$ Mn,247,263,311,366,518,573,630,740,720,864,920,1048,1105,1166,1118,1362,1035,1051,1165,1197
BGD,Bangladesh,US$ Mn,25,33,62,52,50,50,48,57,57,67,75,79,80,59,81,87,87,103,129,153
BRB,Barbados,US$ Mn,622,659,663,712,687,723,697,658,758,775,1073,1228,1217,1237,1112,1071,970,929,973,
BLR,Belarus,US$ Mn,23,55,25,22,12,93,211,234,267,270,253,286,324,363,370,440,487,685,791,868
BEL,Belgium,US$ Mn,4548,4844,4529,4623,6472,6592,6887,6935,8193,9208,9845,10311,11017,12018,11423,11395,12742,12504,13278,13989
BLZ,Belize,US$ Mn,78,93,95,99,101,111,111,121,150,168,214,260,289,278,256,264,248,298,351,380
BEN,Benin,US$ Mn,85,79,56,64,94,77,85,93,106,118,103,116,206,236,131,149,180,170,189,
BMU,Bermuda,US$ Mn,488,472,478,487,479,431,351,378,348,426,429,495,569,431,366,442,493,441,439,412
BTN,Bhutan,US$ Mn,,,,,,,,,,,,23,28,37,42,40,47,61,83,89
BOL,Bolivia,US$ Mn,55,61,64,69,87,68,76,100,166,192,239,244,292,275,279,310,380,594,574,652
BES,Bonaire,US$ Mn,37,42,44,43,45,59,64,65,84,87,87,91,110,121,107,,,,,
BIH,Bosnia and Herzegovina,US$ Mn,,,,247,245,233,265,288,377,481,519,607,724,825,674,589,635,615,685,707
BWA,Botswana,US$ Mn,162,93,136,175,234,222,230,319,457,581,562,537,546,58,52,78,33,34,110,
BRA,Brazil,US$ Mn,972,718,977,1317,1626,1810,1731,1998,2479,3222,3861,4316,4953,5785,5305,5702,6555,6645,6704,6843
BRN,Brunei Darussalam,US$ Mn,,,,,,,155,113,124,181,191,224,233,242,254,,,92,,
BGR,Bulgaria,US$ Mn,473,388,369,966,932,1074,994,1096,1621,2202,2412,2612,3713,4306,3776,3773,3836,3523,3874,3967
BFA,Burkina Faso,US$ Mn,,,,,,19,20,25,24,40,45,53,56,62,66,72,75,84,153,
BDI,Burundi,US$ Mn,1.4,1.2,0.6,0.4,0.7,0.8,0.5,1.1,0.7,1.2,1.5,1.3,1.3,1.3,1.5,1.8,2.5,1.5,2.29,
KHM,Cambodia,US$ Mn,53,82,68,107,212,304,380,454,389,603,840,992,1020,1101,1336,1519,2084,2463,2660,2953
CMR,Cameroon,US$ Mn,36,104,84,85,60,57,73,62,182,158,175,181,226,156,270,159,409,349,576,
CAN,Canada,US$ Mn,7917,8607,8819,9414,10203,10778,10623,10687,10602,13029,13651,14556,15604,15668,13733,15829,16834,17407,17656,17476
