iso3,Country Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,US$ Mn,,,,,,,,,,,,,,32,59,100,260,98,132,111
ALB,Albania,US$ Mn,7,12,5,5,12,272,257,365,489,642,786,965,1268,1555,1586,1362,1565,1284,1479,1590
DZA,Algeria,US$ Mn,186,188,144,269,251,193,194,248,255,341,370,349,376,468,456,601,527,529,471,612
AGO,Angola,US$ Mn,75,73,98,75,127,136,66,19,12,39,74,148,212,254,133,148,180,159,166,113
AIA,Anguilla,US$ Mn,6,6,7,8,8,9,9,8,9,9,10,13,15,17,16,13,13,12,12,
ATG,Antigua and Barbuda,US$ Mn,23,26,27,29,30,31,32,33,35,38,40,45,52,58,54,51,49,49,50,
ARG,Argentina,US$ Mn,3278,3584,3962,4230,4195,4425,3893,2328,2511,2604,2790,3099,3921,4561,4494,4878,5542,5905,5569,5362
ARM,Armenia,US$ Mn,3,22,41,41,37,40,40,54,67,179,207,265,379,435,443,579,687,803,930,1024
ABW,Aruba,US$ Mn,73,120,156,135,140,146,135,159,188,218,226,218,251,250,243,243,269,275,319,329
AUS,Australia,US$ Mn,5165,5920,6261,5935,6227,6387,5860,6072,7270,10242,11749,12537,16454,19617,18738,22558,27371,28078,28576,26325
AUT,Austria,US$ Mn,10887,11015,10062,9581,6727,6232,6579,6901,8623,9237,9316,9628,10560,11431,10815,10122,10550,9992,10254,10849
AZE,Azerbaijan,US$ Mn,146,100,186,170,139,132,109,105,111,126,164,201,264,343,406,782,1689,2477,2877,3008
BHS,Bahamas,US$ Mn,213,235,250,256,276,261,256,244,305,316,344,385,377,305,240,228,246,286,262,237
BHR,Bahrain,US$ Mn,122,109,122,142,212,224,250,380,372,387,414,455,479,503,408,506,718,729,713,718
BGD,Bangladesh,US$ Mn,234,135,178,151,211,290,165,113,165,161,141,142,156,193,265,266,332,304,350,414
BRB,Barbados,US$ Mn,71,74,79,82,87,94,101,99,104,108,217,222,212,205,216,274,65,47,43,
BLR,Belarus,US$ Mn,87,119,114,124,116,216,454,493,399,450,448,586,606,716,639,622,588,789,1153,1159
BEL,Belgium,US$ Mn,8115,8591,7895,8311,9775,9429,9776,10185,12210,13956,14948,15574,17506,19514,19045,18866,20658,20174,21850,23811
BLZ,Belize,US$ Mn,21,26,18,21,36,40,42,44,46,43,42,41,43,41,41,36,34,37,40,49
BEN,Benin,US$ Mn,35,29,16,20,26,12,17,20,21,29,27,34,72,64,53,57,53,43,39,
BMU,Bermuda,US$ Mn,,,,,,,,243,248,217,239,268,288,307,295,301,216,221,222,253
BTN,Bhutan,US$ Mn,,,,,,,,,,,,22,26,64,33,41,56,68,64,39
BOL,Bolivia,US$ Mn,48,54,57,60,75,77,83,80,138,164,186,273,304,281,290,313,298,361,521,831
BES,Bonaire,US$ Mn,,,,10,8,3,2,2,3,6,5,5,6,7,7,,,,,
BIH,Bosnia and Herzegovina,US$ Mn,,,,81,83,73,74,85,106,117,122,170,203,281,231,194,160,139,133,135
BWA,Botswana,US$ Mn,145,78,92,126,147,198,204,184,230,276,282,277,281,52,79,88,81,72,47,
BRA,Brazil,US$ Mn,3391,4387,5419,5385,3085,3894,3199,2396,2261,2871,4720,5764,8211,10962,10898,16420,21264,22233,24987,25567
BRN,Brunei Darussalam,US$ Mn,,,,,,,456,398,469,382,374,408,430,459,477,,,591,,
BGR,Bulgaria,US$ Mn,195,199,222,519,526,538,589,717,1033,1363,1309,1478,1880,2311,1755,891,904,923,1113,1202
BFA,Burkina Faso,US$ Mn,,,,,,20,22,22,31,39,46,55,58,63,64,69,72,77,144,
BDI,Burundi,US$ Mn,25,12,4,3,2,14,12,14,15,23,60,125,104,144,62,20,31,25,34,
KHM,Cambodia,US$ Mn,8,15,13,25,28,33,37,38,36,48,96,122,123,97,104,199,264,314,355,401
CMR,Cameroon,US$ Mn,105,134,136,160,152,205,160,171,171,323,355,412,368,410,389,186,529,518,612,
CAN,Canada,US$ Mn,10260,11254,11480,10849,11499,12438,11961,11722,13337,15524,18021,20615,24641,27226,24038,29727,33388,35038,35170,33817
CPV,Cape Verde,US$ Mn,16,18,17,24,41,36,47,56,73,78,67,82,107,133,136,129,132,128,119,108
CAF,Central African Republic,US$ Mn,,,,,,,,,,31,44,44,48,49,52,49,50,50,,
CHL,Chile,US$ Mn,703,736,839,888,752,620,708,673,850,977,1051,1239,1660,1397,1167,1383,1624,1833,1867,2136
CHN,China,US$ Mn,3688,4474,8130,9205,10864,13114,13909,15398,15187,19149,21759,24322,29786,36157,43702,54880,72585,101977,128576,164859
COL,Colombia,US$ Mn,878,1117,1209,1120,1013,1060,1164,1075,1062,1111,1499,1690,1904,2177,2252,2641,3032,3626,3941,4678
COM,Comoros,US$ Mn,,,,,,,,,,,10,11,15,15,17,19,21,20,,
COG,Congo,US$ Mn,52,78,65,54,63,50,65,70,78,103,112,132,168,,197,205,246,258,236,
CRI,Costa Rica,US$ Mn,323,336,348,409,447,485,364,345,353,406,470,485,634,593,367,424,405,422,425,461
CIV,Cote D'Ivoire,US$ Mn,190,221,200,213,222,189,187,358,387,381,354,373,372,356,343,352,380,364,381,
HRV,Croatia,US$ Mn,422,510,530,600,751,568,606,781,672,848,754,737,985,1123,1014,832,881,926,903,846
CUB,Cuba,US$ Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUW,Cura̤ao,US$ Mn,,,,,,,,,,,,,203,203,209,226,267,278,293,318
CYP,Cyprus,US$ Mn,330,365,385,408,431,413,428,512,611,811,932,967,1479,1593,1300,1116,1300,1285,1235,
CZE,Czech Republic,US$ Mn,1635,2960,2355,1908,1493,1276,1386,1597,1934,2280,2405,2765,3577,4884,4255,4252,4789,4472,4637,5133
COD,Democratic Republic of the Congo,US$ Mn,,,,,,,,,,,54,93,109,127,121,150,298,108,170,283
DNK,Denmark,US$ Mn,4288,4140,4194,4577,4899,4669,4861,5838,6659,7279,6850,7486,8830,9698,8968,9082,9840,9600,10072,10172
DJI,Djibouti,US$ Mn,3.8,3.9,5,2.6,2.9,5.9,4,2.8,2.8,2.8,2.9,3.5,2.6,3.7,5.8,8.6,21,18.4,19.2,
DMA,Dominica,US$ Mn,6,7,7,8,9,9,9,9,9,9,10,10,11,11,13,13,12,12,13,
DOM,Dominican Republic,US$ Mn,173,198,221,254,264,309,291,295,272,310,352,333,326,327,359,395,396,399,378,414
ECU,Ecuador,US$ Mn,235,219,227,241,271,299,340,364,354,391,429,466,504,542,549,568,594,611,621,635
EGY,Egypt,US$ Mn,1278,1317,1347,1153,1078,1072,1132,1266,1321,1257,1629,1784,2446,2915,2538,2240,2203,2618,3014,3140
SLV,El Salvador,US$ Mn,72,73,153,179,169,165,195,191,229,292,206,224,278,241,187,219,203,261,242,248
EST,Estonia,US$ Mn,91,101,120,155,215,204,192,231,319,399,439,586,670,809,605,633,806,796,1056,1164
ETH,Ethiopia,US$ Mn,25,25,40,46,51,74,44,45,50,58,77,97,107,156,138,143,170,181,,
FJI,Fiji,US$ Mn,64,70,69,52,66,83,65,55,70,94,106,101,92,96,94,88,98,92,96,
FIN,Finland,US$ Mn,2278,2285,2080,2062,2035,1852,1852,2006,2433,2821,3057,3424,3983,4546,4394,4304,4878,4885,5292,5286
FRA,France,US$ Mn,16358,17748,17490,18819,18501,22533,22616,23769,28059,30018,31354,32332,37905,40917,36961,38304,44695,39851,42944,48733
PYF,French Polynesia,US$ Mn,,,,,,,,180,236,311,312,122,153,159,164,160,168,158,156,
GAB,Gabon,US$ Mn,137,100,86,84,91,84,225,194,194,214,274,,,,,,,,,
GMB,Gambia,US$ Mn,14,15,16,,,,,,4,4,5,6,8,8,9,11,11,8,,
GEO,Georgia,US$ Mn,,,156,226,130,110,107,149,130,147,169,167,176,203,181,199,213,256,294,299
DEU,Germany,US$ Mn,60260,59076,53667,54423,55879,52824,51917,53006,65234,71187,74189,74119,83154,91598,81399,77580,86166,83235,91318,93252
GHA,Ghana,US$ Mn,21,4,4,85,91,100,105,119,138,186,303,345,558,542,684,574,464,464,473,459
GRC,Greece,US$ Mn,1323,1210,1327,1756,3991,4558,4177,2436,2431,2872,3039,2997,3423,3930,3381,2854,3159,2365,2435,2754
GRD,Grenada,US$ Mn,5,5,6,6,7,8,8,8,8,9,10,16,16,11,10,10,10,11,11,
GTM,Guatemala,US$ Mn,141,135,119,157,183,182,225,276,312,385,421,529,597,606,715,784,708,706,725,788
GIN,Guinea,US$ Mn,21,27,23,27,24,9,18,31,26,25,29,28,29,9,13,8,33,23,50,
GNB,Guinea-Bissau,US$ Mn,3.8,2.9,1.5,,,,2.8,5.1,13.3,13.1,9.8,15.5,40.2,45.6,25.7,29.4,31.5,19.8,27.2,
GUY,Guyana,US$ Mn,21,59,62,63,75,69,55,38,26,30,40,49,58,52,52,73,79,82,81,77
HTI,Haiti,US$ Mn,35,37,35,,,18,18,18,42,72,55,56,56,64,63,63,62,64,62,61
HND,Honduras,US$ Mn,57,60,62,81,94,120,128,149,217,244,262,355,212,291,296,321,354,454,404,412
HKG,Hong Kong China,US$ Mn,10497,11461,12678,13474,13134,12502,12317,12418,11447,13270,13305,14044,15042,16095,15547,17357,19022,20077,21215,22032
HUN,Hungary,US$ Mn,1498,1482,1494,1476,1543,1651,1808,2133,2594,2421,2277,1879,2546,3225,2750,2404,2485,1886,1906,2036
ISL,Iceland,US$ Mn,282,308,323,396,436,471,372,371,523,697,980,1076,1326,1103,534,599,740,780,850,972
IND,India,US$ Mn,996,913,1342,1713,2010,2690,3006,2988,3585,4816,6187,6845,8219,9606,9310,10490,13699,12342,11571,14596
IDN,Indonesia,US$ Mn,2172,2399,2411,2102,2353,3197,3406,3289,3082,3507,3584,4030,4904,5554,5316,6395,6255,6771,7675,7682
IRN,Iran Islamic Republic of,US$ Mn,241,258,382,153,632,668,708,3750,3842,4093,3724,4684,6809,7566,7805,9655,9778,6550,7258,
IRQ,Iraq,US$ Mn,117,70,131,14,14,9,31,26,,,439,395,639,794,1207,1620,1836,2281,,
IRL,Ireland,US$ Mn,2034,2198,2210,3015,2631,2525,2858,3755,4736,5177,6074,6862,8656,10413,7820,7071,6723,5897,6112,6059
ISR,Israel,US$ Mn,2120,2278,2283,2473,2566,2804,2945,2543,2550,2796,2895,3198,3678,3687,3281,3707,3838,3752,3961,4238
ITA,Italy,US$ Mn,14829,15805,16631,17579,16891,15685,14795,16924,20589,20460,22370,23152,27329,30926,27947,26908,28727,26249,26950,28857
JAM,Jamaica,US$ Mn,148,157,181,198,227,209,206,258,252,286,249,273,298,268,216,193,159,180,173,195
JPN,Japan,US$ Mn,36764,37058,33009,28806,32772,31884,26531,26656,28958,38252,37565,26876,26511,27901,25199,27950,27262,27906,21861,19311
JOR,Jordan,US$ Mn,425,381,398,451,355,350,378,453,452,524,585,837,883,1004,1064,1572,1161,1144,1096,1142
KAZ,Kazakhstan,US$ Mn,283,319,445,498,394,408,673,757,669,844,753,821,1082,1078,1132,1273,1611,1685,1600,1687
KEN,Kenya,US$ Mn,192,169,145,155,182,132,143,126,127,108,124,178,265,266,227,212,197,174,233,206
KIR,Kiribati,US$ Mn,,,,,,,,,,,,4.6,7.8,9.7,7.7,8.1,10.1,9.8,11.4,6
KOR,Korea Republic of,US$ Mn,6341,7482,6988,3470,4881,7132,7617,10465,10103,12350,15406,18809,21957,19056,15035,18766,19920,20645,21648,23465
KWT,Kuwait,US$ Mn,2248,2492,2377,2517,2270,2495,2842,3021,3348,3701,4532,5573,6636,7570,6189,6434,8064,9249,9653,11268
KGZ,Kyrgyzstan,US$ Mn,7,6,4,4,11,16,12,10,17,50,58,92,112,304,147,148,247,350,350,390
LAO,Lao People'S Democratic Republic,US$ Mn,30,22,21,23,12,8,0.1,0.3,1,4,5,9,8,41,83,203,237,232,398,
