iso3,Country Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,US$ Mn,,,,,,,,,,,,,,45,87,167,147,168,154,91
ALB,Albania,US$ Mn,70.4,93.8,33.6,60.23,218,398,451,492,537,756,880,1057,1479,1848,2014,1780,1833,1623,1670,1849
DZA,Algeria,US$ Mn,,,,,,,,,,,477,393,334,473,361,324,300,295,326,347
AGO,Angola,US$ Mn,27,38,24,39,31,34,35,51,63,82,103,91,236,293,554,726,653,711,1241,1597
ARG,Argentina,US$ Mn,2550,2975,3153.4,3352.8,3175,3195,2756,1716,2306,2660,3209,3899,4984,5295,4476,5629,6060,5538,4918,5218
ARM,Armenia,US$ Mn,14,18,33,41,47,52,81,81,90,188,243,406,522,564,570,694,762,853,905,994
ABW,Aruba,US$ Mn,554,666,726,786,782,850,825,835,858.1,,,1064.1,1213.4,1352.3,1223.2,1254.1,1357.6,1412.1,1510.8,1631.9
AUS,Australia,US$ Mn,11915,13779,13698,11664,12866,13016,12804,13624,16647,20453,19719,20408,25024,27189,26909,31064,34305,34497,33575,34117
AUT,Austria,US$ Mn,14529,13980,12275,12694,12358,11382,11511,12334,15128,17251,18471,,,,,,,,,
AZE,Azerbaijan,US$ Mn,87,57,176,143,93,68,57,63,70,79,100,201,317,382,545,792,1500,2634,2618,2713
BHS,Bahamas,US$ Mn,1356,1409,1427,1365,1598,1753,1665,1773,1770,1897,2081,2066,2198,2155,2025,2159,2157,2333,2305,2470
BHR,Bahrain,US$ Mn,593,589,578,625,785,854,886,985,1206,1504,1603,1786,1854,1927,1873,2163,1766,1742,1865,1915
BGD,Bangladesh,US$ Mn,,,,,,,,59,59,76,82,,,,95,104,97,105,131,154
BRB,Barbados,US$ Mn,630,667,672,721,697,733,706,666,767,784,1081,1235,1224,1244,1122,1074,983,947,992,
BLR,Belarus,US$ Mn,28,61,40,54,92,188,272,295,339,362,346,401,479,585,563,665,747,986,1156,1230
BEL,Belgium,US$ Mn,,,,,,,8304,7598,8848,10089,10881,11625,12371,,,,,13711,14429,15302
BLZ,Belize,US$ Mn,,95,97,101,,,,,,,,,,,,,,,,
BEN,Benin,US$ Mn,,79.1,56.2,64.2,94.4,77.4,85.5,94.5,107.9,120.9,107.7,121.6,206.3,236.4,131.4,149.4,201,174,193,
BMU,Bermuda,US$ Mn,,,,,,,,,,,,,,,,,500,448,447,420
BTN,Bhutan,US$ Mn,5,6,6,8,9,10,9,8,8,13,19,36,47,47,51,64,76,93,116,125
BOL,Bolivia,US$ Mn,92,100,129,137,124,101,119,143,243,283,345,330,326,302,306,339,499,631,639,736
BIH,Bosnia and Herzegovina,US$ Mn,,,,257,258,246,279,307,404,507,557,658,804,913,753,662,722,686,752,779
BWA,Botswana,US$ Mn,176,105,141,179,239,227,235,324,459,582,563,539,548,58.7,52.6,80,36,36,113,
BRA,Brazil,US$ Mn,1085,744,1025,1398,1718,1969,1844,2142,2673,3389,4168,4577,5284,6109,5635,5963,6830,6890,7014,7403
VGB,British Virgin Islands,US$ Mn,211,227,220,255,339,345,401,345,342,393,412,438,451,446,374,389,388,397,421,
BGR,Bulgaria,US$ Mn,662,541,517,1150,1184,1364,1262,1392,2051,2796,3063,3317,4181,4852,4273,,,,,4557
BFA,Burkina Faso,US$ Mn,,,,,,23,25,37,38,52,46,55,61,82,99,105,,,,
BDI,Burundi,US$ Mn,2.42499424441708,2.14138113274025,1.44007180343455,1.3,1.2,1.4,0.9,1.6,1.2,1.8,1.9,1.6,2.3,1.6,1.7,2.1,3.7,2.7,3.09,
KHM,Cambodia,US$ Mn,71,117,99,129,240,345,429,509,441,673,929,1109,1169,1280,1463,1671,2258,2663,2895,3220
CMR,Cameroon,US$ Mn,75,151,119,114,92,132,182,124,266,212,229,231,254,167,271,171,423,377,607,
CAN,Canada,US$ Mn,9176,10073,10390,11049,12024,13035,12680,12744,12236,15135,15887,16837,17961,18191,15568,18438,19989,20696,20941,
CPV,Cape Verde,US$ Mn,29,37,50,45,56,64,77,100,135,153,177,280,375,432,349,387,438,472,524,467
CYM,Cayman Islands,US$ Mn,394,368,501,534,525,559,585,607,518,523,356,509,481,518,458,465,472,470,480,
CAF,Central African Republic,US$ Mn,4,3,2,4,8,5,5,3,4,7.8,7.2,10.2,10.8,11.8,7.5,14.4,15,15,,
TCD,Chad,US$ Mn,43,22,22,15,15,14,23,25,,,,,,,,,,,,
CHL,Chile,US$ Mn,1186,1209,1401,1431,1243,1179,1184,1221,1309,1571,1682,1891,2226,2537,2350,2422,2751,3114,3144,3134
CHN,China,US$ Mn,,,12626,13229,15006,17318,19006,21742,18707,27755,,,,,,,,,,
COL,Colombia,US$ Mn,887,1362,1315,1216,1231,1313,1483,1237,1191,1369,1891,2370,2586,2936,3050,3441,3801,4363,4759,4887
COM,Comoros,US$ Mn,22,23,26,16,19,15,9,11,16,21,24.4,27.4,30.4,37.4,32.25,35.2,42.2,39.3,,
COG,Congo,US$ Mn,14.66914,11.0175935,,,13.5,12.4,22.6,25.6,30,23.1,,,,,,,,,,
COK,Cook Islands,US$ Mn,28,50,35,34,39,36,38,46,69,72,91,90,107,105,103,111,150,168,168,175
CRI,Costa Rica,US$ Mn,763,797,860,1038,1256,1477,1339,1292,1424,1586,1810,1865,2221,2533,2001,2179,2375,2732,2684,2954
CIV,Cote D'Ivoire,US$ Mn,103,107,103,111,107,53,58,56,76,91,93,104,115,129,164,213,186,172.5,191,
HRV,Croatia,US$ Mn,,,,,2595,2871,3463,3952,6513,6945,7625,8296,9617,11615,9300,8299,9598,8912,9715,10079
CUB,Cuba,US$ Mn,1100,1333,1515,1759,1901,1948,1840,1769,1999,2114,2591,2414,2415,2347,2082,2218,2503,2614,2608,2546
CUW,Curaçao,US$ Mn,175,186,201,261,260,227,271,217,223,224,244,277,329,383,378,438,540,676,778,812
CYP,Cyprus,US$ Mn,2018,1905,1850,1918,2115,2137,2203,2178,2325,2552,2644,2691,3108,3231,2474,2371,2751,2696,3015,
CZE,Czech Republic,US$ Mn,,,,,,,,3376,4069,4931,5772,6702,7775,9228,8164,8068,8930,8174,7792,7611
ECU,Ecuador,US$ Mn,315,330,335,330,377,451,438,449,408,464,488,492,626,745,674,786,849,1039,1251,1487
EGY,Egypt,US$ Mn,2954,3583,4045.8,2942,4361,4657,4119,4133,4704,6328,7206,8133,10327,12104,11757,13633,9333,10823,6747,7979
SLV,El Salvador,US$ Mn,152,155,,,408,437,452,521,664,748,656,686,793,711,549,646,729,900,1054,1285
GNQ,Equatorial Guinea,US$ Mn,1,4,5,0.4,10,5,14,,,,,,,,,,,,,
ERI,Eritrea,US$ Mn,58,69,90,34,28,36,74,73,74,73,66,60,61,46,26,,,,,
EST,Estonia,US$ Mn,452,565,597,668,702,657,661,737,883,1111,1229,1361,1416,1643,,,,,2022,2231
ETH,Ethiopia,US$ Mn,177,170,157,152,176,205,218,261,336,458,533,639,790,1184,1119,1434,1998,1980,,
FJI,Fiji,US$ Mn,369,374,386,309,365,291,316,384,496,588,722,684,722,952,688,825,955,989,971,
FIN,Finland,US$ Mn,2383,2408,2358,2371,2236,2035,2065,2235,2676,2975,3069,3515,4287,4873,4104,4510,5591,5415,,
FRA,France,US$ Mn,31295,32088,,,37770,38534,38385,40537,45990,52108,52139,54587,63902,68001,58858,56187,66087,64001,66049,66803
GUF,French Guiana,US$ Mn,,,,51,50,,42,45,,,44,,49,,,,,,,
PYF,French Polynesia,US$ Mn,326,322,345,354,394,,,471,651,737,759,,,,,,,,,
GAB,Gabon,US$ Mn,94,91,103,110,143,99,46,77,84,74,13,,,,,,,,,
GMB,Gambia,US$ Mn,,67,76,,,,,,58,51,59,69,87,80.2,64,80,92,99,,
GEO,Georgia,US$ Mn,,,75,229,131,107,136,144,172,209,287,361,440,505,537,737,1069,1565,1916,1972
DEU,Germany,US$ Mn,24052,23982,24501,25806,25327,24943,24175,26690,30104,36390,40531,45537,49333,53400,47462,49128,53430,51646,55312,55924
GHA,Ghana,US$ Mn,30,32,35,304,325,357,374,383,441,495,867,910,990,970,849,706,797,1154,1010,1027
GRC,Greece,US$ Mn,4182,3759,3794,,8839,9262,9216,10005,10842,12809,13453,14495,15687,17586,16027,13858,16256,14671,17436,19481
GLP,Guadeloupe,US$ Mn,458,496,372,466,375,418,,,,,306,299,342,384,293,510,582,,671,
GTM,Guatemala,US$ Mn,216,221,270,329,374,498,588,647,646,,,,,,,,,,,
GIN,Guinea,US$ Mn,0.911,9.3,4.8,4.3,5.8,7.8,8.2,,,,,,1.1,2.4,4.9,2.04,2.12,1.71,,
GNB,Guinea-Bissau,US$ Mn,,,,,,,,,2.4,2.2,,,,,,13.6,14.5,6.9,,
GUY,Guyana,US$ Mn,,112,115,111,109,80,65,53,28,,,,,,,,,,,
HND,Honduras,US$ Mn,85,119,152,175,214,263,260,305,372,420,465,515.7,546.6,619.8,616.1,626.7,641.5,683.7,618.1,642
HKG,Hong Kong,US$ Mn,,,,7337,7343,8198,7923,9849,9004,11874,13588,15541,18237,20236,20291,27208,33169,37098,42426,46031
HUN,Hungary,US$ Mn,2938,3589,3824,3688,3622,3809,4191,3774,4119,4009,4761,4998,5628,7533,7013,6595,7239,6149,6671,7479
ISL,Iceland,US$ Mn,309,312,314,372,380,386,383,415,486,558,635,702,848,881,,,,,,
IND,India,US$ Mn,,,,,,3598,3342,3300,4560,6307,7659,8915,11234,12462,,,,18340,19042,20756
IDN,Indonesia,US$ Mn,,,,,,,,5797,4461,5226,5094,4890,5831,8150,6053,7618,9038,9463,10302,11567
IRN,Iran,US$ Mn,205,142,190,656,559,677,1122,1607,1266,1305,1025,1464,1950,1978,2259,2631,2489,1346,1598,
IRQ,Iraq,US$ Mn,,,,,,,,,,,186,170,555,867,1432,1736,1557,1640,,
IRL,Ireland,US$ Mn,2697.7927332635,3022.3296056691,3181,,3403,3517,3789,4228,5206,6075,6780,7664,9263,9967,8458,8187,9526,9064,9538,11093
ISR,Israel,US$ Mn,3491,3506,3740,3598,4800,4611,2854,2426,2473,2908,3427,3802,4405,5509,5067,5824,6041,6180,6452,6439
ITA,Italy,US$ Mn,30426,31886,31416,31335,29571,28706,26916,28192,32591,37870,38374,41644,46144,,,,,,,
JAM,Jamaica,US$ Mn,1199,1218,1290,1380,1486,1577,1494,1482,1621,1733,1783,2094,2142,2222,2070,2095,2060,,,
JPN,Japan,US$ Mn,4894,5775,6175,5664,5715,5970,5750,6069,11475,14343,15554,11490,12422,13781,12537,15356,12533,16197,16865,20790
JOR,Jordan,US$ Mn,973,1026,1063,1083,1016,935,884,1254,1266,1621,1759,2426,2754,3539,3472,4390,4351,5123,5145,5537
KAZ,Kazakhstan,US$ Mn,155,258,350,454,394,403,502,680,638,803,801,973,1214,1255,1185,1236,1524,1572,1601,1555
KEN,Kenya,US$ Mn,785,823,1077,1213,1211,500,536,513,619,799,969,1181,1514,1398,1124,1620,1844,2004,1829,1833
KIR,Kiribati,US$ Mn,2,2.1,2.6,3.1,2.8,2.7,3.2,,,,3.1,3.2,4.6,4.9,4.8,5.4,6.4,4.5,4.4,3.9
KOR,Korea,US$ Mn,6670,6350,6317,8263,8337,8527,7919,7621,7005,8226,8290,8445,9266,13456,13289,14367,17418,18851,19644,23008
KWT,Kuwait,US$ Mn,307,389,396,456,342,394,286,320,328,398,413,508,530,610,660,574,644,780,619,615
KGZ,Kyrgyzstan,US$ Mn,,,,12,18,20,32,48,62,92,94,189,392,569,300,212,405,486,585,468
LAO,Lao People'S Democratic Republic,US$ Mn,52,63,61,97,86,,108,110,77,122,143,160,190,280,271,385,413,461,613,
LVA,Latvia,US$ Mn,37,231,235,222,153,172,153,201,271,343,446,622,881,,,,,,1190,1244
LBN,Lebanon,US$ Mn,710,715,1000,1221,673,742,837,,6782,5931,5969,5457,5796,6317,7157,8026,6797,6853,6412,6576
LSO,Lesotho,US$ Mn,29,33.7,33.7,24.7,23.1,,,,,,,,,,,,,,,
LBY,Libya,US$ Mn,4,4,3,23,39,84,90,202,243,261,301,244,99,99,159,170,,,,
LTU,Lithuania,US$ Mn,102,345,399,504,591,430,425,556,700,834,,,,,,,,,,
LUX,Luxembourg,US$ Mn,,,,,,,,2547,3149,3880,,,,,,4559,4987,5273,5652,5488
MAC,Macao,US$ Mn,3233,3085,2876,2648,2598,3205,3745,4428,5225,7431,8190,10055,13733,17297,18445,28214,38984,44368,52389,51556
MDG,Madagascar,US$ Mn,106,102,110,136,137,152,149,109,119,239,190,248,290,357,262,319,479,563,578,
MWI,Malawi,US$ Mn,22,31,32,25,42,29,40,45,66,74,48,45,43,43,46,45,36,35,33,36
MYS,Malaysia,US$ Mn,5044,5732,4925,3237,4403,5873,7627,8084,6799,9183,10389,12280,17948,18553,17231,,,,,
MDV,Maldives,US$ Mn,,,,,,,,,,,,,,,,,1966,2032,2424,2772
MLI,Mali,US$ Mn,26,27,25,28,36,47,91,105,136,142.3,149.2,175.4,227,286,196,208,218,144,178.2,
MLT,Malta,US$ Mn,813,780,789,818,841,731,704,757,869,949,924,966,1185,,,,,,,
